		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 639.984375	M = 327680	N = 8	m = 9	n = 2621440
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  635  680  637  652  607  649  660  628  5.645054 0.686922 SUCCESS  76
100101000  638  680  652  624  603  648  634  611  6.970609 0.539807 SUCCESS  77
100110000  677  649  610  629  658  665  666  631  6.753993 0.563393 SUCCESS  78
100111000  649  624  650  602  637  652  645  623  3.792831 0.875314 SUCCESS  79
101000000  656  681  605  657  614  654  669  669  9.709347 0.286021 SUCCESS  80
101000100  655  639  638  692  614  618  637  585 11.517882 0.174045 SUCCESS  81
101001000  621  616  665  618  660  646  600  658  7.118993 0.523850 SUCCESS  82
101001100  695  649  642  604  666  661  628  638  9.168437 0.328287 SUCCESS  83
101010000  600  708  639  641  652  600  623  668 14.615508 0.067067 SUCCESS  84
101010100  687  633  614  653  608  640  652  645  6.943640 0.542726 SUCCESS  85
101011000  639  605  631  608  609  647  622  624  6.330155 0.610302 SUCCESS  86
101011100  610  651  647  686  645  674  645  632  7.205155 0.514669 SUCCESS  87
101100000  651  646  638  646  662  661  630  613  3.154498 0.924291 SUCCESS  88
101100100  639  664  630  677  663  617  671  605  8.551821 0.381501 SUCCESS  89
101101000  663  609  632  675  625  677  665  626  8.396973 0.395684 SUCCESS  90
101101100  646  664  622  642  628  603  647  624  4.455155 0.813903 SUCCESS  91
101110000  693  647  657  690  655  648  665  689 14.495357 0.069733 SUCCESS  92
101110100  621  648  626  634  671  665  658  646  4.209347 0.837759 SUCCESS  93
101111000  621  649  633  672  631  677  637  689  8.691367 0.368997 SUCCESS  94
101111100  625  686  677  642  646  629  595  639  9.531468 0.299461 SUCCESS  95
110000000  651  633  650  623  641  623  685  684  7.777276 0.455524 SUCCESS  96
110000010  679  597  622  669  630  607  625  621 10.194448 0.251643 SUCCESS  97
110000100  657  669  643  631  669  677  619  619  6.972124 0.539643 SUCCESS  98
110001000  659  602  658  619  636  644  607  672  7.619044 0.471539 SUCCESS  99
110001010  651  655  629  610  607  601  664  580 13.170357 0.106121 SUCCESS 100
110010000  625  668  640  640  640  631  660  616  3.338993 0.911320 SUCCESS 101
110010010  636  668  606  705  622  579  642  650 16.694347 0.033454 SUCCESS 102
110010100  641  697  679  647  650  629  645  630  8.354044 0.399672 SUCCESS 103
110011000  692  641  654  615  629  658  607  660  8.826064 0.357181 SUCCESS 104
110011010  658  631  661  627  606  668  660  649  5.555155 0.696922 SUCCESS 105
110100000  625  614  635  686  629  707  670  657 14.293690 0.074424 SUCCESS 106
110100010  659  619  617  652  627  623  620  643  3.782023 0.876235 SUCCESS 107
110100100  630  626  625  589  651  618  632  640  6.121367 0.633639 SUCCESS 108
110101000  621  629  637  624  637  642  650  623  1.854094 0.985163 SUCCESS 109
110101010  661  637  636  684  646  635  639  655  4.349549 0.824290 SUCCESS 110
110101100  652  660  621  606  645  633  614  635  4.580710 0.801305 SUCCESS 111
110110000  656  635  649  612  677  621  638  652  4.888286 0.769447 SUCCESS 112
110110010  624  697  636  663  638  624  660  629  7.810256 0.452221 SUCCESS 113
110110100  610  592  646  628  627  688  643  661 10.191872 0.251817 SUCCESS 114
110111000  679  642  669  600  637  627  664  682 10.483235 0.232732 SUCCESS 115
110111010  600  664  641  617  663  624  670  606  8.963084 0.345420 SUCCESS 116
110111100  652  615  651  654  642  666  656  682  6.123741 0.633373 SUCCESS 117
111000000  655  664  656  660  647  593  664  701 12.954751 0.113416 SUCCESS 118
111000010  636  693  675  650  645  675  646  619  9.504195 0.301562 SUCCESS 119
111000100  657  638  654  617  626  663  630  646  3.037326 0.931993 SUCCESS 120
111000110  678  618  654  653  617  639  619  644  5.301114 0.724961 SUCCESS 121
111001000  596  611  645  595  632  642  634  646  8.021468 0.431376 SUCCESS 122
111001010  648  681  639  652  636  623  660  647  4.276468 0.831358 SUCCESS 123
111001100  659  624  649  641  655  606  641  636  3.388640 0.907658 SUCCESS 124
111010000  630  624  682  684  653  648  633  643  7.029347 0.533470 SUCCESS 125
111010010  652  610  636  635  678  646  627  626  4.734852 0.785503 SUCCESS 126
111010100  589  627  611  609  608  621  626  604 12.027427 0.149984 SUCCESS 127
111010110  611  670  644  595  638  619  644  604  8.947124 0.346776 SUCCESS 128
111011000  651  640  639  635  643  655  649  666  1.842124 0.985475 SUCCESS 129
111011010  583  623  636  610  646  648  664  641  8.289044 0.405757 SUCCESS 130
